131011368801 통계분류(2),131011368801 통계분류(3),Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7,Y2024 2024.8,Y2024 2024.9,Y2024 2024.10,Y2024 2024.11,Y2024 2024.12,Y2024 2024.13,Y2024 2024.14,Y2024 2024.15,Y2024 2024.16,Y2024 2024.17,Y2024 2024.18,Y2024 2024.19,Y2024 2024.20,Y2024 2024.21,Y2024 2024.22,Y2024 2024.23,Y2024 2024.24,Y2024 2024.25,Y2024 2024.26,Y2024 2024.27,Y2024 2024.28,Y2024 2024.29,Y2024 2024.30,Y2024 2024.31,Y2024 2024.32,Y2024 2024.33,Y2024 2024.34,Y2024 2024.35,Y2024 2024.36,Y2024 2024.37,Y2024 2024.38,Y2024 2024.39,Y2024 2024.40,Y2024 2024.41,Y2024 2024.42,Y2024 2024.43,Y2024 2024.44,Y2024 2024.45,Y2024 2024.46,Y2024 2024.47,Y2024 2024.48,Y2024 2024.49,Y2024 2024.50,Y2024 2024.51,Y2024 2024.52,Y2024 2024.53,Y2024 2024.54,Y2024 2024.55,Y2024 2024.56
131011368801 통계분류(2),131011368801 통계분류(3),"13103136880T1 골프 (그라운드, 파크포함)","13103136880T2 요가, 필라테스, 태보","13103136880T3 자전거, 사이클, 산악자전거","13103136880T4 축구, 풋살",13103136880T5 수영,13103136880T6 등산,13103136880T7 테니스,13103136880T8 배드민턴,13103136880T9 스킨 스쿠버,13103136880T10 볼링,13103136880T11 게이트볼,13103136880T12 탁구,13103136880T13 농구,13103136880T14 낚시,13103136880T15 보디빌딩 (헬스),13103136880T16 댄스 스포츠,"13103136880T17 스노우보드, 스키",13103136880T18 암벽등반,"13103136880T19 수상스키, 웨이크 보드, 윈드서핑",13103136880T20 야구,"13103136880T21 항공레저 (스카이다이빙,패러글라이딩, 행글라이더 등)","13103136880T22 아쿠아로빅, 수중발레","13103136880T23 달리기(조깅,마라톤 포함)","13103136880T24 당구, 포켓볼",13103136880T25 에어로빅,13103136880T26 족구,13103136880T27 킥복싱,13103136880T28 사격,13103136880T29 걷기(속보 포함),13103136880T30 스쿼시,13103136880T31 승마,13103136880T32 펜싱,13103136880T33 권투,13103136880T34 래프팅,"13103136880T35 석궁,양궁,국궁",13103136880T36 검도,13103136880T37 카누,13103136880T38 트라이애슬론 (철인3종),13103136880T39 서바이벌,"13103136880T40 빙상 (아이스하키,스케이팅 포함)",13103136880T41 육상(걷기. 달리기 제외한 종목),13103136880T42 라켓볼,13103136880T43 인라인 스케이트,13103136880T44 태권도,13103136880T45 요트,"13103136880T46 체조 (맨손체조,생활체조)","13103136880T47 인라인하키,필드하키",13103136880T48 레슬링,13103136880T49 배구,13103136880T50 소프트볼,13103136880T51 줄넘기,13103136880T52 유도,"13103136880T53 럭비, 미식축구",13103136880T54 핸드폴,13103136880T55 수구,13103136880T56 정구,13103136880T64 그 외 종목
소계,소계,10.8,9.9,9.5,8.5,7.8,7.5,6.2,5.8,5.1,5.1,4.8,4.7,4.6,4.3,4.3,4,3.8,3.6,3.4,3,2.4,2.3,2.3,2.2,2.2,1.8,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1,0.9,0.9,0.8,0.7,0.7,0.5,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0,0,0.1
131021368801.002001 서울,소계,10,15.2,14.6,9.5,6.2,6,14.1,4.1,5.3,2.9,2.1,5.5,3.9,5,4.8,3.5,7.4,2.1,7.4,2.8,5,2.9,2.2,3.8,0.7,1.4,2.4,0.5,2.1,0.5,0.7,0,2.1,0.7,0.5,0.7,1.4,0.7,1.2,0,0.7,1.5,0,0.5,0,0,0.7,0,0,0,0,0,0,0,0,0,0
131021368801.002002 부산,소계,6.9,5.9,11.7,8.7,10.6,6,3,9.5,1.7,5.2,1,3.6,5.8,1.6,4.3,5.2,0,2.9,1.6,5.2,0.8,1.9,0,0,1.7,1.5,0,0,1,1.6,0,0,0,0.9,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0.8,0,0,0,0
131021368801.002003 대구,소계,9.6,7.8,4.8,18.1,9.9,0,0,12.6,2.4,2.7,4.6,2.7,4.3,0,10.1,2.2,0,0,0,2.5,0,2.5,0,4.8,2.5,0,2.5,5.2,4.3,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.002004 인천,소계,2.2,0,9.4,11.7,6.7,4.6,5.8,6.3,3.8,7.7,1.7,8.6,1.9,8.3,4.4,4.6,2.2,7.7,0,5.6,0,3.8,5.8,0,0,4.4,0,0,0,0,0,3.3,0,2.2,2.2,1.6,0,0,1.9,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
131021368801.002005 광주,소계,20,9.6,11.8,5.2,8,11.4,7.8,7.4,7.4,1.9,0,1.9,1.6,0,0,4.1,4.2,10.2,0,5.6,2,2,0,2.1,2,0,1.6,2.1,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.002006 대전,소계,17.7,9.3,6.9,5.8,11.6,7.1,8.3,3.9,7.8,4.3,7.8,1.6,5.2,8.8,2.4,4.6,9.8,7.6,6.3,2.7,3.8,4,1,0.9,2.9,1.6,1,3.3,1,4.3,4.6,2.9,1.9,1.9,2.5,2.9,0,0.5,1,1.3,0,0.4,1.2,0,0,2.4,0.5,1,0,0,0.5,1.4,0,0,0,0.4,0
131021368801.002007 울산,소계,7.5,2.3,13.5,5.5,7.5,11.4,3,6.3,1.1,7.2,1.6,7.7,9.2,0,3.2,1.2,0,1.5,0,2.8,0,0,0,0,0,4.5,0,0,1.5,1.1,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.002008 세종,소계,8.7,11.1,8.4,5.3,10.1,3.3,3.2,5.4,5.7,3.7,3.4,6.2,1.2,2.9,2.3,5.6,6.4,6.8,7.5,1.2,4.6,2.1,1.3,1.8,0,2,6.4,5.3,1.1,6.9,4.9,5.5,2.3,2.2,3.2,1,1.2,0,1.1,0,0,0,0,1,1.3,1.8,0,0,0,0,0,1.1,0,0,0,0,0
131021368801.002009 경기,소계,13.1,8.5,8.6,5.8,2.3,7.6,3.3,5.7,4.1,8.3,1,4.4,6.7,3.6,3.3,4.1,2.1,3.4,2.2,3,2.3,1.5,4.9,2.9,0.6,1.8,2.7,1.1,2.4,0,0,1.6,1.1,0.5,0.5,0.5,1.6,1.1,0.6,1.2,0.6,0.6,0.6,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0
131021368801.002010 강원,소계,7.6,16.2,13,15.7,6.1,3.9,13.3,22.3,6.7,3.7,8.1,8.3,4.8,10.4,5.4,4.6,10.1,1.7,15,5.4,1.5,6,0,0,2.2,0,0,1.7,0,0,3.2,0,0,1.7,0,1.7,0,3.6,1.5,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.002011 충북,소계,19,8.5,7.1,4.6,14.7,6.1,5.7,6.2,10.5,4.3,10.5,2.7,2.9,4.9,6.8,3.1,5.5,5.5,4.5,1.5,3,6,0.6,1.1,4.5,0,0.5,2.7,0,4.6,3.6,2.9,2.5,3.1,1.5,1,1.5,2.1,0.4,0,0,0.9,0.6,1.8,2.1,1.1,0,0.6,0,0,0,1.1,0,0.5,0,0,0
131021368801.002012 충남,소계,5.8,10.4,4,12.5,7.5,9.9,4.1,6.1,5.4,8.1,6.1,3.5,5.3,3.7,1.9,3.8,5.6,3.8,2.8,1.9,4.1,2.1,1.4,3,5.5,1.5,0.7,3.7,0,0.6,1.9,0,0,2,3.3,1.4,0.8,1.4,0.8,1.3,0.6,0,0,0.6,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0
131021368801.002013 전북,소계,7.6,4.9,2.7,9,11.8,9.7,9.1,2.5,16.6,6.9,2.5,11.2,2,2.7,0,2.6,2.3,12.1,4.7,4,0,0,4.9,11.6,0,4.7,2.3,2.1,0,0,2.1,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.3,0,0
131021368801.002014 전남,소계,14.2,8.8,18.2,18.3,11.5,17.6,1.9,0,0,0,2.5,2.2,0,0,6.9,5.1,0,0,0,6.7,0,0,7.8,0,2.5,0,1.9,1.9,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.002015 경북,소계,6.4,20.5,4.4,14.6,10.9,2.6,7.9,2.2,0,4.3,17.7,8,8,2.4,7.6,4.9,0.9,1.1,0.9,2.1,1.1,2.6,0,0,8.9,6,1.1,0,0,3.2,0.9,0,1.1,0,1.3,1.8,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.002016 경남,소계,4.2,8.7,12.6,6.4,8.4,13.5,2.6,3.2,5.2,1.4,9.5,5.2,1.1,6.4,4.6,3.9,0.6,1.1,0,2.1,0,0,2.2,1.3,2,2.5,1,0.6,1.3,0.7,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,0.6,0,0.5,0,0,0
131021368801.002017 제주,소계,23.7,12.1,2,18.9,16.2,5,18.7,15.4,4.1,7.4,4,6.9,6.9,0,16.4,2.2,0,4.3,4.9,0,0,0,4.4,12,4.6,0,0,0,7,0,0,0,2.2,0,2.6,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,2.2
131021368801.003001 대도시,소계,11.1,9.9,10.9,8.4,8.8,6.3,8.7,6,4.8,4.2,3.1,4.3,4.5,4.6,3.8,3.8,5.3,4.1,4.5,3.4,3.1,2.8,1.5,2.1,1.4,1.7,1.5,1.3,1.5,1.6,1.5,1.1,1.3,1,1,1,0.5,0.4,1,0.3,0.3,0.6,0.4,0.3,0.1,0.5,0.4,0.2,0,0.2,0.1,0.3,0.1,0,0,0.1,0.1
131021368801.003002 중소도시,소계,11.5,10.5,9.8,7.3,6.9,8.4,4.7,5.6,4.7,6.3,5.3,4.2,3.8,4.1,4.5,3.3,2.5,3.1,2.4,2.9,2,2.5,3.6,2.6,2.5,1.8,2.1,1.7,1.7,0.5,1,1.5,0.6,0.6,0.9,0.6,1.1,1.3,0.6,0.7,0.4,0.5,0.3,0.5,0.6,0,0.3,0,0.1,0.1,0.1,0,0,0.2,0,0,0
"131021368801.003003 읍, 면 이하",소계,8.8,8.9,6.4,10.6,7.8,8.3,4.6,5.6,6.4,4.5,7.2,6.3,6.4,4.1,4.8,5.5,3.6,3.8,3.4,2.2,1.6,1.2,1.5,1.8,3,2.2,0.7,1.3,0.4,2.3,1,0.5,1.6,1.5,0.8,1.1,0.5,0.4,0.5,0.4,0,0,0.4,0.1,0.4,0.6,0,0.4,0.2,0.2,0,0.8,0,0,0.2,0,0.1
131021368801.004001 남자,소계,12.7,0.1,12.9,13.1,2.1,7.9,5.5,4.5,5.3,5.8,3.9,4.7,7.1,6.8,4.4,0.3,4.2,4.5,3.9,4.7,3.4,0.1,2.1,3.4,0,3,2.5,1.5,0.8,0.9,0.8,1,1.3,1.3,1,1.1,0.8,1,1.2,0.7,0.4,0.4,0.1,0.4,0.5,0.2,0.2,0.3,0.2,0.3,0,0.5,0,0.1,0.1,0,0
131021368801.004002 여자,소계,7.9,25.1,4.4,1.3,16.7,7,7.4,7.7,4.9,4,6.2,4.6,0.8,0.5,4.2,9.6,3.2,2.3,2.8,0.3,0.8,5.9,2.7,0.4,5.5,0,0.1,1.4,2.3,1.9,1.9,1.4,0.7,0.4,0.9,0.6,0.8,0.4,0,0.2,0.1,0.5,0.7,0.2,0.1,0.5,0.4,0,0,0,0.2,0,0.1,0.1,0,0.1,0.1
131021368801.005001 10대,소계,0.5,9.1,7.5,21.1,1.8,0.3,8.5,7.6,5.3,5.5,0,2.3,14.5,0,5.9,7.4,7.8,5.1,4.5,7.6,4.5,0.8,1.6,1.4,0.3,1.4,4.7,4.4,0,2.2,1.4,3.7,1.2,1,2.5,2.5,1.3,0.3,1.6,0.8,0,0.5,1.4,2,0.3,0,0,0.3,0.3,0.3,0.4,0.4,0,0.4,0,0.3,0
