,count,unique,top,freq,missing_count,missing_ratio
131011368651 통계분류(2),74,62,131011368651 통계분류(2),13,0,0.0
131011368651 통계분류(3),74,16,소계,59,0,0.0
Y2024 2024,74.0,68.0,42.7,2.0,0,0.0
Y2024 2024.1,74.0,61.0,3.1,3.0,0,0.0
Y2024 2024.2,74.0,63.0,13.3,3.0,0,0.0
Y2024 2024.3,74.0,59.0,0.2,3.0,0,0.0
Y2024 2024.4,74.0,56.0,6.4,3.0,0,0.0
Y2024 2024.5,74.0,53.0,6.4,3.0,0,0.0
Y2024 2024.6,74.0,53.0,3.5,3.0,0,0.0
Y2024 2024.7,74.0,59.0,3.4,4.0,0,0.0
Y2024 2024.8,74.0,54.0,4.7,3.0,0,0.0
Y2024 2024.9,74.0,53.0,4.8,5.0,0,0.0
Y2024 2024.10,74.0,48.0,3.2,4.0,0,0.0
Y2024 2024.11,74,42,0,16,0,0.0
Y2024 2024.12,74,46,0,7,0,0.0
Y2024 2024.13,74,41,0,6,0,0.0
Y2024 2024.14,74.0,35.0,2.9,5.0,0,0.0
Y2024 2024.15,74,36,0,7,0,0.0
Y2024 2024.16,74,39,0,5,0,0.0
Y2024 2024.17,74,28,0,8,0,0.0
Y2024 2024.18,74,27,0,12,0,0.0
Y2024 2024.19,74,26,0,12,0,0.0
Y2024 2024.20,74,29,0,22,0,0.0
Y2024 2024.21,74,22,0,17,0,0.0
Y2024 2024.22,74,23,0,11,0,0.0
Y2024 2024.23,74,20,0,26,0,0.0
Y2024 2024.24,74,21,0,16,0,0.0
Y2024 2024.25,74,19,0,22,0,0.0
Y2024 2024.26,74,17,0,35,0,0.0
Y2024 2024.27,74,15,0,36,0,0.0
Y2024 2024.28,74,13,0,32,0,0.0
Y2024 2024.29,74,12,0,39,0,0.0
Y2024 2024.30,74,12,0,42,0,0.0
Y2024 2024.31,74,13,0,40,0,0.0
Y2024 2024.32,74,9,0,39,0,0.0
Y2024 2024.33,74,10,0,41,0,0.0
Y2024 2024.34,74,10,0,43,0,0.0
Y2024 2024.35,74,11,0,48,0,0.0
Y2024 2024.36,74,7,0,45,0,0.0
Y2024 2024.37,74,8,0,50,0,0.0
Y2024 2024.38,74,8,0,56,0,0.0
Y2024 2024.39,74,7,0,54,0,0.0
Y2024 2024.40,74,8,0,63,0,0.0
Y2024 2024.41,74,6,0,65,0,0.0
Y2024 2024.42,74,6,0,61,0,0.0
Y2024 2024.43,74,5,0,65,0,0.0
Y2024 2024.44,74,7,0,66,0,0.0
Y2024 2024.45,74,4,0,67,0,0.0
Y2024 2024.46,74,4,0,67,0,0.0
Y2024 2024.47,74,5,0,67,0,0.0
Y2024 2024.48,74,5,0,68,0,0.0
Y2024 2024.49,74,4,0,68,0,0.0
Y2024 2024.50,74,4,0,67,0,0.0
Y2024 2024.51,74,4,0,69,0,0.0
Y2024 2024.52,74,13,0,17,0,0.0
