,count,unique,top,freq,mean,min,25%,50%,75%,max,std,missing_count,missing_ratio
노선명,20115,17635,경기대로,46,,,,,,,,0,0.0
시도명,20115,18,경상북도,9113,,,,,,,,0,0.0
시군구명,20115,122,구미시,8260,,,,,,,,0,0.0
도로구간-기점,20115,10176,경상북도 구미시 공단동 360-1,647,,,,,,,,0,0.0
도로구간-종점,20115,10298,경상북도 상주시 낙동면 낙동리 1067-2,647,,,,,,,,0,0.0
도로구간-기점(위도),20115.0,,,,36.224124246059475,35.89325065237276,36.124247,36.278244565084826,36.278244565084826,36.50924091271207,0.1395324290505939,0,0.0
도로구간-기점(경도),20115.0,,,,128.2018459737793,127.76077432844657,128.12424393137863,128.12424393137863,128.366557,128.73002660293207,0.22623971092392947,0,0.0
도로구간-종점(위도),20115.0,,,,36.236595423510494,35.883239750888364,36.126428,36.288553499407755,36.288553499407755,36.531741748519394,0.14808763734036373,0,0.0
도로구간-종점(경도),20115.0,,,,128.20126023713445,127.76873996690176,128.1242231867607,128.1242231867607,128.361212,128.71669521985893,0.22148318022186803,0,0.0
총길이(km),20115.0,,,,0.5706453890131743,0.01,0.05,0.22,0.88,2.125,0.7004960571192146,0,0.0
자전거도로너비(m),20115,155,2,3609,,,,,,,,0,0.0
자전거도로종류,20115,6,자전거보행자겸용도로,18644,,,,,,,,0,0.0
자전거도로고시유무,20115,2,N,13638,,,,,,,,0,0.0
관리기관명,20115,153,경상북도 구미시청,8260,,,,,,,,0,0.0
관리기관전화번호,20115,216,054-480-5485,9642,,,,,,,,0,0.0
데이터기준일자,20115,,,,2024-08-12 06:46:28.724832256,2022-06-10 00:00:00,2024-03-11 00:00:00,2024-12-04 00:00:00,2025-02-20 00:00:00,2025-03-14 00:00:00,,0,0.0
제공기관코드,20115.0,,,,4693982.848620432,3020000.0,4030000.0,5080000.0,5080000.0,6520000.0,747780.9098134125,0,0.0
제공기관명,20115,134,경상북도 구미시,8260,,,,,,,,0,0.0
