prcha_prrrg_prduc_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,prduc_ctgry_lrcls_nm,prduc_ctgry_mdcls_nm,prduc_ctgry_smcls_nm,otdr_prduc_nm,info_obtn_site_url
D***,201903**,F,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,강서구,화곡8동,삼성,SKT,레저/자동차,자전거/용품,자전거액세서리,유아안장자전거유아안장 후방유아안장 아동보조안장,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=124136733
D***,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,오산시,갈곶동,삼성,SKT,자전거,자전거관리용품,에어펌프(발펌프),GIYO지요 GF-56GTB ULTRA 자전거펌프 공기배출기능,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1147853726
D***6,201903**,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,단독주택,부산,사상구,괘법동,애플,SKT,자전거,자전거신발/고글/헬멧,장갑,윈드스토퍼스마트터치 겨울 방한장갑 네오프렌 방풍,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1050935353
D***1,201903**,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,경기,고양시 덕양구,내유동,LG,LG U+,레저/자동차,자전거/용품,자전거의류/잡화,사은품증정나루 마스크 자전거 자외선차단 등산 골프 바라클라바 버프 겨울 방한 넥워머 복면  오토바이,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1070268365
D***4,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,안산시 단원구,선부2동,삼성,SKT,레저/자동차,자전거/용품,자전거액세서리,완전사2017년 신형 KSM400-3 SE 연납축전지 12V/,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1150653630
D***4,201903**,F,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,고양시 일산동구,마두1동,삼성,SKT,레저/자동차,자전거/용품,자전거,도미니크24인치하이브리드자전거초등학생~중학생까지,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1090901926
D***7,201903**,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,구래동,삼성,KT,레저/자동차,자전거/용품,헬멧/보호장비,심플한도시형헬멧/빅이글 어반헬멧/자전거용품/인라인,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1187901648
D***6,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,부산,북구,만덕3동,삼성,SKT,레저/자동차,자전거/용품,자전거타이어/부품,삼천리알루미늄 핸드펌프  - 자전거 다용도 튜브 펌프 공기주입기,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1218187968
D***,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,전남,여수시,고소동,삼성,SKT,자전거/보드,자전거타이어/부품,자전거튜브,[CST]700x25/32C fv60mm 자전거튜브 프레스타 흥아 켄다,http://item.gmarket.co.kr/Item?goodscode=1283528097
D***,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,강남구,일원동,삼성,SKT,레저/자동차,자전거/용품,자전거,지멘스여성용 부인용 자전거 클래식 24 26인치,http://item.gmarket.co.kr/Item?goodscode=1110235162
