auser_ntrs_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,pltc_dgnt_cont,ecnm_dgnt_cont,sct_dgnt_cont,lilhd_dgnt_cont,wrld_dgnt_cont,it_dgnt_cont,sprt_dgnt_cont,tv_etmn_dgnt_cont,main_ntrs_cd,info_obtn_site_url,info_obtn_site_subjc_nm
D***,201903**,F,4,,,      ,          ,,광주,광산구,광산동,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/baseball/gamecenter/kbo/index.nhn?gameId=20190616HHWO02019,한화 vs 키움 : 네이버 스포츠
D***,201903**,M,5,,,      ,          ,,경기,안양시 동안구,범계동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?oid=277&aid=0004543347&sid1=102&mode=LSD,고유정은 커튼쳐서 숨었지만 난 당당 고유정 현남편 홍태의씨 얼굴 공개
D***,201903**,M,3,,,      ,          ,,경기,성남시 분당구,정자동,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/wbaseball/news/read.nhn?oid=117&aid=0003269058,"“야구에 100% 힘 쏟을 것” 조브리스트, 이혼 소송 4개월 만에 복귀 :: 네이버스포츠"
D***,201903**,F,5,,,      ,          ,,광주,북구,중흥동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/079/0003247538,9호선은 여전히 ... :: 네이버 뉴스
D***0,201903**,F,3,,,      ,          ,,서울,서초구,서초1동,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/023/0003459009,NAVER
D***5,201903**,M,4,,,      ,          ,,서울,성동구,금호동3가,,,,,,사회,,,,,,사회,https://n.news.naver.com/article/025/0002904643?ntype=RANKING,일가족 4명 어린... :: 네이버 뉴스
D***6,201903**,F,5,"주부 (전업주부, 파트타임 근무 주부)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강북구,송중동,,삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/009/0004444370,"자택서 숨진채 발견된 설리, 자필 노트 발견…마지막장에 적힌 글이"
D***1,201903**,M,2,,,      ,          ,,경기,용인시 기흥구,신갈동,,,,,,,,세계,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=104&oid=029&aid=0002558849,2개월만에 다시 만난 미중...트럼프 무역협상 매우 훌륭
D***0,201903**,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,아니오,          ,오피스텔,경기,안성시,당왕동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/worldbaseball/gamecenter/mlb/index.nhn?gameId=20190824TECW0,텍사스 vs 화이트삭스 : 네이버 스포츠
D***8,201903**,F,2,,,      ,          ,,경남,창원시 마산합포구,월영동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004203163,성추문→약혼→... :: 네이버 뉴스
D***5,201903**,F,2,,,      ,          ,,전북,전주시 완산구,평화동2가,,,,,,,,,IT,,,IT,https://n.news.naver.com/article/018/0004421743?ntype=RANKING,30년 악습 택시... :: 네이버 뉴스
D***1,201903**,F,4,,,      ,          ,,인천,남동구,구월3동,,,,,,사회,,,,,,경제,https://n.news.naver.com/article/005/0001195082,2층 광역버스 한... :: 네이버 뉴스
D***3,201903**,F,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",100~199만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,평택시,지산동,,삼성,알뜰폰(MVNO),,,,,,,스포츠,,사회,https://m.sports.naver.com/video.nhn?id=568165&type=GAMECENTER,네이버 스포츠
D***1,201903**,M,5,,,      ,          ,,경기,남양주시,화도읍,,,,,,,,,,스포츠,,사회,https://m.sports.naver.com/kbaseball/photocenter/sports?albumId=81417&imgId=2055220&ctg=kbo&listUrl=https://m.sports.naver.com/kbaseball/photocenter/index.nhn&historyBack=true,포토 :: 네이버스포츠
D***7,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,아니오,          ,아파트/ 주상복합,대구,달성군,현풍면,"스포츠 (제네시스 쿠페, BMW M, 벤츠 AMG 등)",삼성,SKT,,,사회,,,,,,사회,https://n.news.naver.com/article/055/0000722675,강릉 산불 첫 발... :: 네이버 뉴스
D***1,201903**,M,3,,,      ,          ,,충남,아산시,배방읍,,,,,,,,,,스포츠,,스포츠,https://m.sports.naver.com/kbaseball/news/read.nhn?oid=477&aid=0000190534,[스포츠타임 현장] 부상에 시달리는 한용덕 감독 트레이닝파트 세분화 필요 :: 네이버스포츠
D***9,201903**,M,4,"교직 (교사, 유치원교사, 학원강사)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,광주시,오포읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",삼성,SKT,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001186615,‘아기가 정부 돌... :: 네이버 뉴스
D***4,201903**,M,5,,,      ,          ,,경기,용인시 처인구,모현면,,,,정치,,,,,,,,경제,https://n.news.naver.com/article/277/0004499190,택시 사납금 드디... :: 네이버 뉴스
D***9,201903**,F,3,,,      ,          ,,서울,마포구,서교동,,,,,,사회,,,,,,경제,https://m.news.naver.com/read.nhn?oid=028&aid=0002448789&sid1=102&mode=LSD,재벌가 3세들 왜... :: 네이버 뉴스
D***3,201903**,F,2,,,      ,          ,,서울,서초구,방배동,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?aid=0000760310&oid=055&sid1=102,"부산 마린시티 초속 50ｍ 빌딩풍…초강력 타파 근접, 피해 속출"
D***2,201903**,M,4,,,      ,          ,,서울,마포구,도화동,,,,정치,,,,,,,,정치,https://n.news.naver.com/article/081/0003011112?ntype=RANKING,좌초 가능성 높아... :: 네이버 뉴스
D***5,201903**,F,4,,,      ,          ,,경기,용인시 수지구,풍덕천2동,,,,,,사회,,,,,,스포츠,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003395149,감기 걸렸다고 대형병원 찾아가면 진료비 대폭 늘어난다 [뉴스 투데이]
D***3,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,단독주택,전북,전주시 덕진구,덕진동1가,,삼성,SKT,,,,,,,스포츠,,사회,https://m.sports.naver.com/wfootball/news/read.nhn?oid=108&aid=0002791087,"권창훈, 독일 이적 임박... 다른 한국 선수 올 수도 [佛언론] :: 네이버스포츠"
D***8,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,아파트/ 주상복합,부산,수영구,민락동,,삼성,SKT,,,사회,,,,,,사회,https://m.news.naver.com/memoRankingRead.nhn?oid=277&aid=0004572895&sid1=102&date=20191115&ntype=MEMORANKING,"공지영 조국 아들도 자기 학생인데…진중권, 이 사람이 선생인가?"
D***6,201903**,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,고양시 덕양구,고양동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,SKT,,경제,,,,,,,경제,https://n.news.naver.com/article/353/0000033761,‘40조 이혼’ 베... :: 네이버 뉴스
D***1,201903**,M,3,,,      ,          ,,광주,서구,금호동,,,,,,,,,,,TV연예,사회,https://m.entertain.naver.com/read?oid=609&aid=0000098068,"조정석(JOJUNGSUK), “열혈사제‘ 너무 축하드려요~ ’녹두꽃‘도 대박” [뉴스엔TV] :: 네이버 TV연예"
D***3,201903**,M,2,,,      ,          ,,광주,서구,치평동,,,,,경제,,,,,,,TV연예,https://m.news.naver.com/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002974149,"B737NG 동체 균열, 국내서 4대 또 발견"
D***6,201903**,M,4,무직,100~199만원,아니오,          ,아파트/ 주상복합,대구,달성군,다사읍,,,,,,사회,,,,,,사회,https://m.news.naver.com/read.nhn?aid=0000982247&oid=214&sid1=102,"법원 이부진, 임우재와 이혼하고 141억 지급"
