auser_lfst_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,frnt_ntds_prfn_cont,dgtl_hmpl_prfn_cont,lsur_car_prfn_cont,bty_prfn_cont,lilhd_kchn_prfn_cont,sprt_fshn_prfn_cont,grcs_helth_prfn_cont,jrny_prfn_cont,fshn_wear_prfn_cont,auser_fshn_stff_prfn_cont,lfst_cd,info_obtn_site_url
D***,201903**,M,4,"관리직 (사장, 간부, 고위공무원)",900~999만원,아니오,          ,아파트/ 주상복합,서울,강서구,가양동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,SKT,,,,,,,,,,패션잡화,패션의류,http://mitem.auction.co.kr/ItemDescription?ItemNo=B736694487
D***,201903**,F,5,,,      ,          ,,경기,수원시 권선구,권선동,,,,,,,뷰티,,,,,,,레저/자동차,http://m.gsshop.com/prd/prd.gs?prdid=36056249
D***0,201903**,M,2,,,      ,          ,,서울,강남구,논현1동,,,,,디지털/가전,,,,,,,,,디지털/가전,http://mitem.gmarket.co.kr/ItemDetail/Index?goodsCode=333799838&seq=d8b156c5e23f46eab66f1e85a0ccb5c3&IsSmartDelivery=False&CustNo=&IsShowCertInfo=False&IsOrg=false
D***9,201903**,M,4,,,      ,          ,,서울,은평구,진관동,,,,,,,,,,식품/건강,,,,식품/건강,http://m.gsshop.com/prd/prd.gs?prdid=15862715&mseq=399160
D***2,201903**,M,2,,,      ,          ,,인천,강화군,강화읍,,,,,,,,,,식품/건강,,,,식품/건강,http://m.coupang.com/vm/products/179817437/items/514936447/offers/banner?vendorItemId=4326314686&sdpVisitKey=myrgsaht6mmw574ejx
D***9,201903**,F,5,,,      ,          ,,광주,북구,문흥1동,,,,가구/인테리어,,,,,,,,,,가구/인테리어,http://m.gsshop.com/deal/deal.gs?dealNo=33024630&mseq=A00061-L-5&arm=2-F-U&expId=today_open&fromApp=Y
D***0,201903**,F,2,,,      ,          ,,인천,서구,검암동,,,,,,,,,,,,,패션잡화,패션잡화,http://mitem.auction.co.kr/ItemDescription?ItemNo=B711573882
D***7,201903**,M,3,,,      ,          ,,서울,광진구,구의동,,,,가구/인테리어,,,,,,,,,,패션잡화,http://mitem.auction.co.kr/ItemDescription?ItemNo=B444789427
D***7,201903**,M,3,,,      ,          ,,서울,광진구,구의동,,,,,,,,,,,,,패션잡화,패션잡화,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2285616731&appId=01&appType=appmw&appVCA=815&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***1,201903**,M,5,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,단독주택,강원,춘천시,약사동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,,,,,생활/주방,,,,,,생활/주방,http://mitem.auction.co.kr/ItemDescription?ItemNo=A702631531
D***1,201903**,F,4,,,      ,          ,,서울,강서구,화곡2동,,,,,,,,,,식품/건강,,,,식품/건강,http://m.coupang.com/vm/products/129174060/items/380515934/offers/banner?vendorItemId=3921960808&sdpVisitKey=oc1hye6znojskozizv
D***5,201903**,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,광진구,구의2동,,애플,KT,,,,,생활/주방,,,,,,생활/주방,http://m.coupang.com/vm/products/154219507/items/444664391/offers/banner?vendorItemId=4560971667&sdpVisitKey=123yavfhtg56dcty52
D***8,201903**,F,4,,,      ,          ,,전북,완주군,이서면,,,,,,,,생활/주방,,,,,,생활/주방,http://m.11st.co.kr/MW/api/app/elevenst/search/listing.tmall?ab=B&abTest=search_190604&searchKeyword=깨끗한나라 벚꽃 30롤&decSearchKeyword=깨끗한나라+벚꽃+30롤&sortCd=H&searchMetaYN=Y&benefits=FREE_DLV&hasAdPrdYn=Y&checkFilterYn=Y
