pref_sghtng_place_id,extrc_word_nm,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,pref_sghtng_place_nm,info_obtn_site_url,info_obtn_site_subjc_nm
D***,함덕해안,201903**,F,3,,,      ,          ,,경기,부천시 원미구,상동,,,,함덕해안,https://m.blog.naver.com/33fanta/221648550419,제주 바다가 보이는 카페제주도 조천함덕해안도로 바람과바다
D***,고성 델피노 골프앤리조트,201903**,M,3,,,      ,          ,,경기,수원시 팔달구,매산로2가,,,,고성 델피노 골프앤리조트,https://blog.naver.com/aramouse/221589693496,가족여행 숙소 추천 고성 속초 델피노골프앤리조트 카페로까 조식 리뷰
D***,운암사,201903**,M,4,,,      ,          ,,서울,양천구,신정4동,,,,운암사,https://m.blog.naver.com/lucky0520/221684590217,비라칸사스와 함께한 광양 운암사
D***,담양호,201903**,M,3,,,      ,          ,,서울,마포구,도화동,,,,담양호,https://m.blog.naver.com/ka8564/221652276574,담양호 용마루길따라 과녁바위산을 돌아오는 트레킹코스
D***,청룡사,201903**,M,4,,,      ,          ,,서울,노원구,중계4동,,,,청룡사,https://m.blog.naver.com/ykan7/221713770267,191119 안성 서운산 산행청룡사주차장청룡사정상 왕복코스 끝물 단풍 감상하기
D***,부석사,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,중구,운서동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,알뜰폰(MVNO),부석사,https://m.blog.naver.com/ekswldkvkxm2/221710948020,경북가볼만한곳 영주 부석사
D***,장성호,201903**,M,5,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,용인시 수지구,신봉동,"대형차 (제너시스, BMW5급 등)",삼성,SKT,장성호,https://m.blog.naver.com/wella5442/221704598476,장성 가볼만한곳 장성호 수변길 출렁다리
D***,거가대교,201903**,F,4,,,      ,          ,,서울,노원구,상계10동,,,,거가대교,https://m.blog.naver.com/ohyea95/221553123462,가덕도 가볼 만한 곳 연대봉 세계 최대 수심 해저터널 거가대교
D***,주문진,201903**,M,4,,,      ,          ,,인천,서구,연희동,,,,주문진,https://blog.naver.com/crazy_yuri/221713254200,새로웠던 주문진 맛집
D***,천안종합휴향,201903**,F,3,,,      ,          ,,경기,부천시 원미구,도당동,,,,천안종합휴향,https://m.cafe.naver.com/sejongpedal/3371,세종싸이클로드
D***,제주용머리,201903**,F,4,,,      ,          ,,강원,태백시,상장동,,,,제주용머리,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0b2pw&articleno=2342,제주 용머리해안 맛집 가족 식사엔 카도돈카츠
D***,등명,201903**,M,2,,,      ,          ,,서울,동대문구,이문동,,,,등명,https://m.blog.naver.com/fedfox77/221616393516,강릉 해수욕장 추천 작지만 편안한 등명해변등명해수욕장
D***,충온온천,201903**,M,3,,,      ,          ,,서울,서초구,서초3동,,,,충온온천,https://m.cafe.naver.com/mywetown/912,충주나우리마을
D***,충온온천,201903**,F,2,,,      ,          ,,서울,서초구,양재1동,,,,충온온천,https://m.cafe.naver.com/mywetown/912,충주나우리마을
D***,고래불,201903**,M,4,,,      ,          ,,부산,연제구,거제4동,,,,고래불,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0bogl&articleno=923,해파랑길 트레킹 제23코스 고래불 후포항
D***,라비에벨,201903**,M,2,,,      ,          ,,전북,군산시,나운1동,,,,라비에벨,https://blog.naver.com/yangjinss/221716472829,부천예식장 라비에벨웨딩 기억에 많이 남을 것 같아요
D***,마이산회봉온천,201903**,M,4,,,      ,          ,,서울,도봉구,쌍문3동,,,,마이산회봉온천,https://m.blog.naver.com/PostView.nhn?blogId=hk8300&logNo=50140957063&proxyReferer=https%3A%2F%2Fm.search.naver.com%2Fsearch.naver%3Fquery%3D%25EB%25A7%2588%25EC%259D%25B4%25EC%2582%25B0%25ED%259A%258C%25EB%25B4%2589%25EC%2598%25A8%25EC%25B2%259C%26sm%3Dmtb_hty.top%26where%3Dm%26oquery%3D%25EB%258C%2580%25EA%25B5%25AC%25EB%25A9%25B4%25EB%258F%2584%25EC%259A%2594%25EC%25A7%2580%26tqi%3DUPO7psprvAdssE166zRssssst3G-144381,마이산회봉온천 새 희망 날개 활짝 폈다
D***,여수 경도,201903**,F,3,,,      ,          ,,서울,금천구,가산동,,,,여수 경도,https://blog.naver.com/zephyr122059/221339654475,수요미식회 여수  경도 자연횟집  여수 10미 하모 샤브샤브
D***,해운대,201903**,M,2,,,      ,          ,,전북,전주시 완산구,효자동1가,,,,해운대,https://moonjj82.blog.me/221712612297,해운대뷔페 가장 좋아하는 곳 그랜드애플
D***,직탕,201903**,M,4,무직,100만원 미만,아니오,          ,단독주택,충북,음성군,맹동면,,LG,KT,직탕,https://m.blog.naver.com/sonic72/221608063332,20190806 철원일대 폭포를 찾아떠난 여름휴가 재인폭포비둘기낭폭포직탕폭포산정호수
D***,선바위,201903**,M,2,,,      ,          ,,울산,중구,복산2동,,,,선바위,https://m.blog.naver.com/7750khj/221702772489,합천 작은가야산  수리봉소바우듬선바위
D***,영월온천,201903**,M,2,,,      ,          ,,인천,부평구,삼산1동,,,,영월온천,https://m.blog.naver.com/sonjungwook22/221664214543,201707387001 영월군 영월읍 심옥리 영월온천
D***,영국사,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,청림동,,삼성,LG U+,영국사,https://m.blog.naver.com/youliyan/221628365158,충북 영동 가볼만한곳 천태산 영국사
D***,묘산봉,201903**,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",200~299만원,아니오,          ,단독주택,대전,중구,문창동,"경차 (모닝, 스파크 등)",삼성,LG U+,묘산봉,https://m.blog.naver.com/kohj007/221598565809,제주시 구좌읍 김녕리 묘산봉 일대 농어촌도로 확장
D***,내장산리조트,201903**,M,5,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,단독주택,강원,춘천시,약사동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,내장산리조트,https://m.blog.naver.com/beet38/221710851873,정읍시 내장산리조트 최대규모 민자유치
D***,알펜시아,201903**,M,2,,,      ,          ,,대전,동구,용운동,,,,알펜시아,https://blog.naver.com/asdffggg2/221648164694,강원도여행 평창 알펜시아 홀리데이인스위트 투베드룸과 오션700 워터파크
D***,백제가요정읍사,201903**,F,5,,,      ,          ,,서울,동작구,상도2동,,,,백제가요정읍사,https://m.blog.naver.com/japansisa/221583141689,백제의 가요 정읍사 망한가로 새롭게 태어나다
D***,프로젝트 ECO,201903**,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,양산시,동면,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",,,프로젝트 ECO,https://humanvillage.blog.me/221713044677,애월 봉성리 프로젝트ECO조성사업
D***,예래휴양형주거,201903**,M,2,,,      ,          ,,전북,익산시,영등동,,,,예래휴양형주거,https://blog.naver.com/bigfish3/221477767193,예래 휴양형 주거단지 현황과 제주도 땅 투자
D***,태조산,201903**,M,2,,,      ,          ,,울산,남구,삼산동,,,,태조산,https://m.blog.naver.com/ohs1443/221659948848,천안 태조산421m  흑성산519m
D***,구곡폭포,201903**,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,광진구,구의2동,,애플,KT,구곡폭포,https://blog.naver.com/jsl3335/221675894684,구곡 폭포 나들이
