auser_info_id,extrc_word_nm,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,info_obtn_site_url,info_obtn_site_subjc_nm
D***,남양주왕숙천자전거길,201903**,F,4,,,      ,          ,,서울,노원구,상계10동,,,,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0LReU&articleno=8305892,남양주  왕숙천 자전거길 라이딩
D***5,화명생태공원자전거길,201903**,M,2,,,      ,          ,,전남,담양군,고서면,,,,https://m.blog.naver.com/qkadlfk/221554198507,브롬톤 화명생태공원 자전거길
D***1,경춘선자전거길,201903**,M,3,,,      ,          ,,경북,영천시,언하동,,,,https://m.blog.naver.com/kkj3ng/221540816361,경춘선 자전거길 라이딩
D***0,평화누리자전거길,201903**,F,2,무직,100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,인천,서구,연희동,"경차 (모닝, 스파크 등)",애플,LG U+,https://m.blog.naver.com/yhsukno1/221631978928,평화누리 자전거길
D***9,중랑천자전거길,201903**,M,2,,,      ,          ,,경북,안동시,서후면,,,,https://m.blog.naver.com/ydy2406/221696518471,191102 동두천 마실 라이딩중랑천 자전거길
D***3,북한강자전거길,201903**,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,남양주시,오남읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",LG,SKT,https://m.cafe.naver.com/ram1207/124042,평택맛집멋집
D***2,경춘선자전거길,201903**,F,3,,,      ,          ,,경기,김포시,운양동,,,,https://m.blog.naver.com/kkj3ng/221540816361,경춘선 자전거길 라이딩
D***4,금강자전거길,201903**,M,5,,,      ,          ,,경기,부천시 원미구,상동,,,,https://blog.naver.com/jwkim7240/221496396043,언제나 즐거움을 주는 금강자전거길  세종에서 대청가는 길
D***3,금강자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,남원시,조산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,SKT,https://m.blog.naver.com/24oo/221714742817,국토종주 금강자전거길 합강공원  세종보  금강하구둑
D***4,포항경주자전거길,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,관악구,청룡동,,삼성,SKT,https://blog.naver.com/iggiis/221513578508,라이딩포항경주자전거길  자전거로 포항에서 경주까지 가는 길 포항경주자전거길 둘러보기
D***6,중랑천자전거길,201903**,M,4,,,      ,          ,,서울,중랑구,상봉1동,,,,https://m.blog.naver.com/ydy2406/221696518471,191102 동두천 마실 라이딩중랑천 자전거길
D***6,오천자전거길,201903**,M,2,,,      ,          ,,경기,과천시,과천동,,,,http://eathappy.kr/221505302372,오천자전거길 모래재 다운힐 2km 
D***4,남한강자전거길,201903**,M,2,,,      ,          ,,서울,종로구,구기동,,,,https://m.blog.naver.com/nogozzzlab/221646085651,남한강 자전거길 여주 강천섬 게스트하우스에서 하룻밤
D***6,탄천자전거길,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,기타 ,서울,구로구,구로5동,,삼성,LG U+,https://blog.naver.com/kkj3ng/221501865593,탄천 자전거길 용인 쪽 종점
D***7,남한강자전거길,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,단독주택,전남,여수시,덕충동,,삼성,SKT,https://m.blog.naver.com/id780629/221632367842,만원 한 장 들고가는 남한강자전거길 인생 여행
D***6,쉐도우수자전거길,201903**,F,5,,,      ,          ,,서울,도봉구,쌍문4동,,,,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0H59d&articleno=5972748,쉐도우수 자전거길섬산길인천상륙작전 전초기기 영흥도 일주190915
D***5,경안천자전거길,201903**,M,3,,,      ,          ,,서울,마포구,신공덕동,,,,https://blog.naver.com/gisborne99/221525434713,428일 경안천자전거길 맛보기 라이딩
D***6,섬진강자전거길,201903**,M,2,,,      ,          ,,울산,북구,명촌동,,,,https://gwangyangsi.blog.me/221511222078,섬진강 자전거 길 라이딩하기 좋은 계절
D***7,낙동강자전거길,201903**,M,5,,,      ,          ,,충북,청원군,내수읍,,,,https://m.blog.naver.com/llblessingll/221697402093,양산라이딩 평일 벙개 원동23고개  안태호  낙동강자전거길  교동면옥  소소서원
D***5,동해안자전거길,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강북구,수유1동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)",LG,KT,https://emptydream.tistory.com/m/4790,동해안 자전거길 임랑  간절곶
D***1,승촌보자전거길,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,금천구,가산동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",삼성,KT,https://m.blog.naver.com/sistjdlstnr/221553275943,승촌보 자전거길
D***76,홍제천자전거길,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,경기,수원시 팔달구,지동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)",애플,SKT,http://m.blog.daum.net/_blog/_m/articleView.do?blogid=0IXFH&articleno=7426071,포방교에서 성산대교를 거쳐 응암역까지 홍제천자전거길과 불광천자전거길 라이딩
D***57,영산강자전거길,201903**,M,3,무직,500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,부산,남구,용호3동,,LG,SKT,https://m.blog.naver.com/ds3nzo/221534436409,영산강 자전거길 광주담양
D***00,의암호물레길자전거길,201903**,M,5,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,제주,제주시,한림읍,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",LG,LG U+,https://m.blog.naver.com/hongyw/221709585938,춘천가볼만한곳 춘천 MBC근처 의암호물레길 자전거길  20191031
D***18,금강자전거길,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,충북,청주시 흥덕구,비하동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,LG U+,https://ds5yov.blog.me/221496450512,190324 국토종주 자전거길금강자전거길 세종서 대청땜
