노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
강남5길(북),,경상북도,안동시,경상북도 안동시 정하동 258-5,경상북도 안동시 정하동 231-7,,,,,강남동행정복지센터,0.3,15,1.5,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
강남5길(남),,경상북도,안동시,경상북도 안동시 정하동 258-5,경상북도 안동시 정하동 231-7,,,,,강남동행정복지센터,0.2,15,1.5,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
영호루(북),,경상북도,안동시,경상북도 안동시 정하동 651-1,경상북도 안동시 정하동 342-31,,,,,영호루,0.4,8,2,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
안동교(서),,경상북도,안동시,경상북도 안동시 정하동 342-20,경상북도 안동시 옥야동 398-5,,,,,안동교,0.6,7,2.5,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
송야천(동),,경상북도,안동시,경상북도 안동시 노하동 773-91,경상북도 안동시 교리 25-3,,,,,송야천,1.9,5,2.3,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
송야천(동),,경상북도,안동시,경상북도 안동시 송현동 1036-58,경상북도 안동시 노하동 773-38,,,,,안동역,1.8,2,2.3,자전거전용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
춘천로114번길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 효자동 531-37,강원특별자치도 춘천시 효자동 662-30,,,,,,0.51,,5.2,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
춘천로114번길 L,,강원특별자치도,춘천시,강원특별자치도 춘천시 효자동 454-1,강원특별자치도 춘천시 효자동 662-21,,,,,,0.51,,5.2,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
춘천로138번길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 운교동 198,강원특별자치도 춘천시 효자동 489-5,,,,,,0.33,,2.2,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
시청길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 조양동 26-6,강원특별자치도 춘천시 조양동 5-1,,,,,,0.39,,3,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
시청길 L,,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로1가 83,강원특별자치도 춘천시 옥천동 111-22,,,,,,0.39,,3,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
시청길,,강원특별자치도,춘천시,강원특별자치도 춘천시 조양동 24-7,강원특별자치도 춘천시 조양동 5-1,,,,,,0.28,,3,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
옥천길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로1가 80,강원특별자치도 춘천시 옥천동 111-22,,,,,,0.3,,1.8,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
옥천길 L,,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로 41-1,강원특별자치도 춘천시 옥천동 39-28,,,,,,0.3,,2,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
춘천로17번길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 온의동 6-23,강원특별자치도 춘천시 온의동 587-8,,,,,,0.5,,4,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
춘천로17번길 L,,강원특별자치도,춘천시,강원특별자치도 춘천시 온의동 6-25,강원특별자치도 춘천시 온의동 589-4,,,,,,0.5,,2,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
중앙로154번길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 소양로4가 116-14,강원특별자치도 춘천시 근화동 236,,,,,,0.35,,3,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
중앙로154번길 L,,강원특별자치도,춘천시,강원특별자치도 춘천시 소양로4가 121,강원특별자치도 춘천시 근화동 236-34,,,,,,0.35,,3,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
가연길 R,,강원특별자치도,춘천시,강원특별자치도 춘천시 세무서삼거리(낙원동 119),강원특별자치도 춘천시 소양로4가 101-17,,,,,,0.35,,3.3,,,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
반포대로(동측),,서울특별시,서초구,서울특별시 서초구예술의 전당 교차로,서울특별시 서초구반포대교 남단,,,,,,3.5,,1.3,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
반포대로(서측),,서울특별시,서초구,서울특별시 서초구반포대교 남단,서울특별시 서초구예술의 전당 교차로,,,,,,3.5,,1.3,자전거보행자겸용도로,,서울특별시 서초구청,02-2155-7186,2024-12-10,3210000,서울특별시 서초구
