순서,컬럼영문명,컬럼한글명,데이터타입,길이,PK여부,NOT NULL여부
1,RESPOND_ID,응답자ID,VARCHAR,50,Y,Y
2,EXAMIN_BEGIN_DE,조사시작일자,VARCHAR,8,Y,Y
3,HOLD_INDVDL_MVMN_MN_ONE_TY,보유개인이동수단1유형,VARCHAR,200,N,N
4,HOLD_INDVDL_MVMN_MN_TWO_TY,보유개인이동수단2유형,VARCHAR,200,N,N
5,HOLD_INDVDL_MVMN_MN_THREE_TY,보유개인이동수단3유형,VARCHAR,200,N,N
6,HOLD_INDVDL_MVMN_MN_FOUR_TY,보유개인이동수단4유형,VARCHAR,200,N,N
7,HOLD_INDVDL_MVMN_MN_FIVE_TY,보유개인이동수단5유형,VARCHAR,200,N,N
8,HOLD_INDVDL_MVMN_MN_SIX_TY,보유개인이동수단6유형,VARCHAR,200,N,N
9,HOLD_INDVDL_MVMN_MN_SEVEN_TY,보유개인이동수단7유형,VARCHAR,200,N,N
10,SEXDSTN_FLAG_NM,성별구분명,VARCHAR,200,N,N
11,AGRDE_FLAG_NM,연령대구분명,VARCHAR,200,N,N
12,HSHLD_COMPO_NM,가구구성명,VARCHAR,200,N,N
13,HSHLD_INCOME_DGREE_NM,가구소득정도명,VARCHAR,200,N,N
14,OCCP_CL_NM,직업분류명,VARCHAR,200,N,N
15,ANSWRR_OC_AREA_NM,답변자거주지역명,VARCHAR,200,N,N
