메타테이블ID,메타테이블명(논리명),메타_영문명,메타_데이터타입,테이터길이,컬럼명변환(논리명),PK여부,NULL여부
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,prcha_prrrg_prduc_id,VARCHAR(40),40,구입예정제품ID,,NOT NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,info_obtn_dt,CHAR(8),8,정보획득일자,,NOT NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,auser_sxdst_cd,VARCHAR(1),1,이용자성별코드,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,age_group_cd,VARCHAR(1),1,연령그룹코드,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,occpn_nm,VARCHAR(50),50,직업명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,hshld_incm_group_nm,VARCHAR(40),40,가구소득그룹명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,mrrg_yn_nm,VARCHAR(10),10,결혼여부명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,chdrn_yn_nm,VARCHAR(10),10,자녀여부명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,rsid_fom_nm,VARCHAR(60),60,주거형태명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,auser_ara_ctprv_nm,VARCHAR(20),20,이용자지역시도명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,auser_ara_gu_nm,VARCHAR(60),60,이용자지역구명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,auser_ara_dong_nm,VARCHAR(60),60,이용자지역동명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,car_group_nm,VARCHAR(200),200,자동차그룹명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,craln_tlphn_mkr_nm,VARCHAR(40),40,휴대전화제조사명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,craln_tlphn_sbscr_cmpn_nm,VARCHAR(40),40,휴대전화가입회사명,,NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,prduc_ctgry_lrcls_nm,VARCHAR(100),100,제품카테고리대분류명,,NOT NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,prduc_ctgry_mdcls_nm,VARCHAR(100),100,제품카테고리중분류명,,NOT NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,prduc_ctgry_smcls_nm,VARCHAR(100),100,제품카테고리소분류명,,NOT NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,otdr_prduc_nm,VARCHAR(500),500,아웃도어제품명,,NOT NULL
TB_FPL_BIKE_AUSER_PRDUC_M,자전거코스 이용자 자전거용품 구입예정제품,info_obtn_site_url,VARCHAR(4000),6000,정보획득사이트URL,,NOT NULL
