,count,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
strd_dt,537208.0,20210366.430939227,171.27916973046692,20210101.0,20210215.0,20210401.0,20210516.0,20210630.0,0,0.0
adstrd_cd,537208.0,11433195.129716981,191668.0383479351,11110515.0,11260648.75,11440620.0,11598141.25,11740700.0,0,0.0
adzn_lvlhd_ppltn_cnt,537208.0,24107.41414065352,10558.432091597437,4176.5806208,16419.62396475,22141.6064205,30190.12415775,50845.87444725,0,0.0
seoul_lvlhd_ppltn_cnt,537208.0,10380697.931348618,223792.554378973,9664875.502999999,10186986.881,10492166.048,10535061.133,10771323.218,0,0.0
agrde_cd,537208.0,40.0,20.00001861478973,10.0,20.0,40.0,60.0,70.0,0,0.0
adzn_lvlhd_ppltn_rt,537208.0,0.0023259959650777265,0.0010221388640006973,0.0003971683,0.001581812475,0.0021349147,0.002943927575,0.004987100225000001,0,0.0
all_rntl_qty,537208.0,75605.46961325967,39385.73684890961,2514.0,37794.0,76214.0,114207.0,140870.0,0,0.0
adzn_expect_rntl_qty,537208.0,174.557651676449,122.24647752631941,1.1718140778,76.87931474725,148.187450325,243.63351975,493.76482725412495,0,0.0
age_use_rt,537208.0,13.557142857142868,15.33287880085502,0.7,1.5,5.6,24.9,45.5,0,0.0
age_accto_expect_rntl_cnt,537208.0,19.316998351493975,23.299834224210404,0.0082026985,2.14834184625,7.4695526201,29.510410163499998,70.553512639375,0,0.0
age_accto_expect_rntl_sum,537208.0,1855239.4157143675,2098241.599094141,95792.1299999886,205268.8500000058,766337.040000018,3407462.909999848,6226488.4500007685,0,0.0
