,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
auser_info_id,23494,111,D***,1716,,,,,,,,0,0.0
extrc_word_nm,23494,154,영산강자전거길,1651,,,,,,,,0,0.0
info_obtn_dt,23494,9,201905**,3239,,,,,,,,0,0.0
auser_sxdst_cd,23494,2,M,14613,,,,,,,,0,0.0
age_group_cd,23494.0,,,,3.3113986549757386,1.0374958030776393,2.0,2.0,3.0,4.0,5.0,0,0.0
occpn_nm,23494,15,"사무직 (일반사무직, 공무원, 직업군인)",14367,,,,,,,,0,0.0
hshld_incm_group_nm,23494,11,300~399만원,12494,,,,,,,,0,0.0
mrrg_yn_nm,23494,3,      ,10156,,,,,,,,0,0.0
chdrn_yn_nm,23494,3,          ,16210,,,,,,,,0,0.0
rsid_fom_nm,23494,5,아파트/ 주상복합,18279,,,,,,,,0,0.0
auser_ara_ctprv_nm,23494,16,서울,7909,,,,,,,,0,0.0
auser_ara_gu_nm,23494,222,서구,873,,,,,,,,0,0.0
auser_ara_dong_nm,23494,2703,논현동,267,,,,,,,,0,0.0
craln_tlphn_mkr_nm,23494,4,삼성,17854,,,,,,,,0,0.0
craln_tlphn_sbscr_cmpn_nm,23494,5,SKT,16007,,,,,,,,0,0.0
info_obtn_site_url,23494,521,https://m.blog.naver.com/booilair/221558999503,71,,,,,,,,0,0.0
info_obtn_site_subjc_nm,23494,508,오천자전거길,114,,,,,,,,0,0.0
