RESPOND_ID,EXAMIN_BEGIN_DE,HOLD_INDVDL_MVMN_MN_ONE_TY,SEXDSTN_FLAG_NM,AGRDE_FLAG_NM,HSHLD_COMPO_NM,HSHLD_INCOME_DGREE_NM,OCCP_CL_NM,ANSWRR_OC_AREA_NM
948,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,경영/관리직,서울
955,20230701,전동 스쿠터,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",일반 공무원/준공무원,서울
967,20230701,전동 스케이트보드,남성,60대 이상,신혼기 초과(자녀없음),300만원 내외,사무직,경북
981,20230701,전동 스케이트보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,일반 공무원/준공무원,전북
997,20230701,전동 스케이트보드,여성,30대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,사무직,전북
1015,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),900만원 내외,사무직,충북
1076,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 유아기(막내가 초등학교 입학 전),300만원 내외,판매/서비스직,인천
1079,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",사무직,경기
1081,20230701,전동 휠,남성,40대,1인 가구,200만원 내외,기술/숙련직,인천
1084,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,자영업,서울
1092,20230701,전동 스케이트보드,남성,30대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,사무직,경남
1117,20230701,전동 킥보드,남성,40대,1인 가구,500만원 내외,기술/숙련직,경기
1129,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,자영업,충남
1131,20230701,전동 스쿠터,남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,기술/숙련직,경북
1144,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),400만원 내외,사무직,경기
1146,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,사무직,제주
1148,20230701,"오토바이(바이크, 스쿠터)",여성,60대 이상,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",경영/관리직,경기
1151,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",사무직,서울
1152,20230701,전동 킥보드,남성,40대,신혼기 초과(자녀없음),500만원 내외,기술/숙련직,대구
1156,20230701,전동 스쿠터,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),300만원 내외,무직/기타,경북
1165,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,자영업,대구
1172,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,사무직,강원
1183,20230701,전동 킥보드,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),500만원 내외,자영업,서울
1185,20230701,"오토바이(바이크, 스쿠터)",여성,40대,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,사무직,인천
1191,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"2,100만원 이상",경영/관리직,대구
1197,20230701,전기 자전거,남성,50대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,사무직,서울
1199,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,사무직,경기
1203,20230701,전동 킥보드,남성,40대,1인 가구,300만원 내외,기술/숙련직,경기
1208,20230701,전동 킥보드,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),500만원 내외,사무직,부산
1216,20230701,"오토바이(바이크, 스쿠터)",여성,50대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,일반 공무원/준공무원,대구
1229,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,사무직,서울
1245,20230701,"오토바이(바이크, 스쿠터)",여성,30대,신혼기 초과(자녀없음),"2,100만원 이상",자영업,서울
1248,20230701,"오토바이(바이크, 스쿠터)",남성,60대 이상,자녀 독립기(막내가 결혼한 상태),600만원 내외,기술/숙련직,경기
1260,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",사무직,충북
1264,20230701,전동 휠,여성,20대,1인 가구,300만원 내외,사무직,대구
1270,20230701,전기 자전거,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),800만원 내외,전문직,강원
1277,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,일반 공무원/준공무원,전북
1278,20230701,전동 킥보드,남성,40대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,사무직,인천
1285,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,사무직,경기
1306,20230701,전동 스케이트보드,남성,30대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",사무직,서울
1314,20230701,전기 자전거,남성,40대,1인 가구,400만원 내외,기술/숙련직,대전
1319,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,무직/기타,전북
1322,20230701,"오토바이(바이크, 스쿠터)",여성,30대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,기술/숙련직,경남
1332,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,기술/숙련직,경기
1342,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,전문직,대구
