,count,unique,top,freq,missing_count,missing_ratio
131011368801 통계분류(2),74,62,131011368801 통계분류(2),13,0,0.0
131011368801 통계분류(3),74,16,소계,59,0,0.0
Y2024 2024,74.0,63.0,7.5,3.0,0,0.0
Y2024 2024.1,74,56,0,11,0,0.0
Y2024 2024.2,74,60,0,4,0,0.0
Y2024 2024.3,74,60,0,7,0,0.0
Y2024 2024.4,74.0,56.0,7.8,3.0,0,0.0
Y2024 2024.5,74,56,0,8,0,0.0
Y2024 2024.6,74,55,0,9,0,0.0
Y2024 2024.7,74,47,0,6,0,0.0
Y2024 2024.8,74,41,0,13,0,0.0
Y2024 2024.9,74,53,0,9,0,0.0
Y2024 2024.10,74,52,0,12,0,0.0
Y2024 2024.11,74.0,55.0,4.4,3.0,0,0.0
Y2024 2024.12,74,44,0,17,0,0.0
Y2024 2024.13,74,52,0,14,0,0.0
Y2024 2024.14,74,46,0,7,0,0.0
Y2024 2024.15,74,44,0,13,0,0.0
Y2024 2024.16,74,42,0,19,0,0.0
Y2024 2024.17,74,42,0,13,0,0.0
Y2024 2024.18,74,37,0,17,0,0.0
Y2024 2024.19,74,39,0,13,0,0.0
Y2024 2024.20,74,33,0,25,0,0.0
Y2024 2024.21,74,42,0,17,0,0.0
Y2024 2024.22,74,38,0,19,0,0.0
Y2024 2024.23,74,36,0,16,0,0.0
Y2024 2024.24,74,39,0,20,0,0.0
Y2024 2024.25,74,27,0,26,0,0.0
Y2024 2024.26,74,33,0,25,0,0.0
Y2024 2024.27,74,30,0,20,0,0.0
Y2024 2024.28,74,27,0,26,0,0.0
Y2024 2024.29,74,32,0,20,0,0.0
Y2024 2024.30,74,25,0,22,0,0.0
Y2024 2024.31,74,26,0,31,0,0.0
Y2024 2024.32,74,26,0,32,0,0.0
Y2024 2024.33,74,24,0,26,0,0.0
Y2024 2024.34,74,26,0,20,0,0.0
Y2024 2024.35,74,20,0,28,0,0.0
Y2024 2024.36,74,24,0,37,0,0.0
Y2024 2024.37,74,23,0,34,0,0.0
Y2024 2024.38,74,25,0,32,0,0.0
Y2024 2024.39,74,17,0,42,0,0.0
Y2024 2024.40,74,13,0,53,0,0.0
Y2024 2024.41,74,14,0,45,0,0.0
Y2024 2024.42,74,16,0,46,0,0.0
Y2024 2024.43,74,17,0,43,0,0.0
Y2024 2024.44,74,17,0,41,0,0.0
Y2024 2024.45,74,21,0,40,0,0.0
Y2024 2024.46,74,13,0,52,0,0.0
Y2024 2024.47,74,12,0,48,0,0.0
Y2024 2024.48,74,9,0,57,0,0.0
Y2024 2024.49,74,12,0,53,0,0.0
Y2024 2024.50,74,10,0,57,0,0.0
Y2024 2024.51,74,14,0,46,0,0.0
Y2024 2024.52,74,7,0,64,0,0.0
Y2024 2024.53,74,9,0,58,0,0.0
Y2024 2024.54,74,6,0,65,0,0.0
Y2024 2024.55,74,7,0,65,0,0.0
Y2024 2024.56,74,9,0,57,0,0.0
