,count,unique,top,freq,missing_count,missing_ratio
131011264311 통계분류(2),86,74,131011264311 통계분류(2),13,0,0.0
131011264311 통계분류(3),86,16,소계,71,0,0.0
Y2016 2016,86,72,-,10,0,0.0
Y2016 2016.1,86,67,-,10,0,0.0
Y2016 2016.2,86,63,-,10,0,0.0
Y2016 2016.3,86,61,-,10,0,0.0
Y2016 2016.4,86,25,0,20,0,0.0
Y2016 2016.5,86,15,0,21,0,0.0
Y2016 2016.6,86,12,0,31,0,0.0
Y2016 2016.7,86,6,0,70,0,0.0
Y2016 2016.8,86,48,-,10,0,0.0
Y2017 2017,86,72,-,10,0,0.0
Y2017 2017.1,86,73,-,10,0,0.0
Y2017 2017.2,86,61,-,10,0,0.0
Y2017 2017.3,86,54,-,10,0,0.0
Y2017 2017.4,86,44,0,15,0,0.0
Y2017 2017.5,86,20,0,19,0,0.0
Y2017 2017.6,86,12,0,38,0,0.0
Y2017 2017.7,86,16,0,26,0,0.0
Y2018 2018,86,75,-,10,0,0.0
Y2018 2018.1,86,74,-,10,0,0.0
Y2018 2018.2,86,62,-,10,0,0.0
Y2018 2018.3,86,55,-,10,0,0.0
Y2018 2018.4,86,41,0,18,0,0.0
Y2018 2018.5,86,19,0,14,0,0.0
Y2018 2018.6,86,11,0,33,0,0.0
Y2018 2018.7,86,23,0,32,0,0.0
Y2019 2019,86,70,-,10,0,0.0
Y2019 2019.1,86,73,-,10,0,0.0
Y2019 2019.2,86,64,-,10,0,0.0
Y2019 2019.3,86,61,-,10,0,0.0
Y2019 2019.4,86,26,0,21,0,0.0
Y2019 2019.5,86,17,0,17,0,0.0
Y2019 2019.6,86,10,0,45,0,0.0
Y2019 2019.7,86,12,0,49,0,0.0
Y2019 2019.8,86,8,0,62,0,0.0
Y2019 2019.9,86,52,-,10,0,0.0
Y2020 2020,86,38,-,46,0,0.0
Y2020 2020.1,86,41,-,46,0,0.0
Y2020 2020.2,86,34,-,46,0,0.0
Y2020 2020.3,86,35,-,46,0,0.0
Y2020 2020.4,86,22,-,46,0,0.0
Y2020 2020.5,86,8,-,46,0,0.0
Y2020 2020.6,86,12,-,46,0,0.0
Y2020 2020.7,86,12,-,46,0,0.0
Y2021 2021,86,41,-,45,0,0.0
Y2021 2021.1,86,42,-,45,0,0.0
Y2021 2021.2,86,32,-,45,0,0.0
Y2021 2021.3,86,34,-,45,0,0.0
Y2021 2021.4,86,22,-,45,0,0.0
Y2021 2021.5,86,9,-,45,0,0.0
Y2021 2021.6,86,36,-,45,0,0.0
Y2022 2022,86,39,-,48,0,0.0
Y2022 2022.1,86,38,-,48,0,0.0
Y2022 2022.2,86,38,-,48,0,0.0
Y2022 2022.3,86,35,-,48,0,0.0
Y2022 2022.4,86,22,-,48,0,0.0
Y2022 2022.5,86,10,-,48,0,0.0
Y2022 2022.6,86,8,-,48,0,0.0
Y2022 2022.7,86,15,-,48,0,0.0
Y2022 2022.8,86,33,-,48,0,0.0
Y2023 2023,86,73,-,12,0,0.0
Y2023 2023.1,86,70,-,12,0,0.0
Y2023 2023.2,86,58,-,12,0,0.0
Y2023 2023.3,86,62,-,12,0,0.0
Y2023 2023.4,86,30,0,19,0,0.0
Y2023 2023.5,86,15,0,26,0,0.0
Y2023 2023.6,86,10,0,36,0,0.0
Y2023 2023.7,86,11,0,50,0,0.0
Y2023 2023.8,86,59,-,12,0,0.0
Y2024 2024,86,68,-,12,0,0.0
Y2024 2024.1,86,73,-,12,0,0.0
Y2024 2024.2,86,56,-,12,0,0.0
Y2024 2024.3,86,58,-,12,0,0.0
Y2024 2024.4,86,20,0,24,0,0.0
Y2024 2024.5,86,13,0,36,0,0.0
Y2024 2024.6,86,8,0,48,0,0.0
Y2024 2024.7,86,54,-,12,0,0.0
