131011368651 통계분류(2),131011368651 통계분류(3),Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7,Y2024 2024.8,Y2024 2024.9,Y2024 2024.10,Y2024 2024.11,Y2024 2024.12,Y2024 2024.13,Y2024 2024.14,Y2024 2024.15,Y2024 2024.16,Y2024 2024.17,Y2024 2024.18,Y2024 2024.19,Y2024 2024.20,Y2024 2024.21,Y2024 2024.22,Y2024 2024.23,Y2024 2024.24,Y2024 2024.25,Y2024 2024.26,Y2024 2024.27,Y2024 2024.28,Y2024 2024.29,Y2024 2024.30,Y2024 2024.31,Y2024 2024.32,Y2024 2024.33,Y2024 2024.34,Y2024 2024.35,Y2024 2024.36,Y2024 2024.37,Y2024 2024.38,Y2024 2024.39,Y2024 2024.40,Y2024 2024.41,Y2024 2024.42,Y2024 2024.43,Y2024 2024.44,Y2024 2024.45,Y2024 2024.46,Y2024 2024.47,Y2024 2024.48,Y2024 2024.49,Y2024 2024.50,Y2024 2024.51,Y2024 2024.52
131011368651 통계분류(2),131011368651 통계분류(3),13103136865T1 걷기(속보 포함),13103136865T2 보디빌딩 (헬스),13103136865T3 등산,"13103136865T4 요가, 필라테스, 태보","13103136865T5 골프(그라 운드, 파크 포함)",13103136865T6 수영,"13103136865T7 자전거, 사이클, 산악자전거","13103136865T8 체조 (맨손체조, 생활체조)","13103136865T9 달리기(조깅, 마라톤 포함)","13103136865T10 축구, 풋살",13103136865T11 배드민턴,13103136865T12 농구,"13103136865T13 당구, 포켓볼",13103136865T14 볼링,13103136865T15 탁구,13103136865T16 테니스,13103136865T17 낚시,13103136865T18 줄넘기,13103136865T19 훌라후프,13103136865T20 댄스스포츠,13103136865T21 게이트볼,13103136865T22 에어로빅,13103136865T23 족구,13103136865T24 야구,13103136865T25 태권도,13103136865T26 암벽등반,"13103136865T27 아쿠아로빅, 수중발레","13103136865T28 수상스키, 웨이크 보드, 윈드서핑",13103136865T29 킥복싱,13103136865T30 권투,"13103136865T31 육상(걷기, 달리기 제외한 종목)",13103136865T32 인라인 스케이트,"13103136865T33 스노우보드, 스키",13103136865T34 사격,13103136865T35 검도,13103136865T36 배구,13103136865T37 스쿼시,13103136865T38 유도,13103136865T39 승마,"13103136865T40 석궁, 양궁, 국궁",13103136865T41 트라이애슬론(철인3종),"13103136865T42 인라인하키, 필드하키",13103136865T43 소프트볼,"13103136865T44 럭비, 미식축구",13103136865T45 핸드볼,"13103136865T46 항공레저 (스카이다이빙, 패러글라이딩, 행글라이더 등)",13103136865T47 래프팅,13103136865T48 서바이벌,13103136865T49 스킨스쿠버,13103136865T50 라켓볼,13103136865T51 정구,"13103136865T52 빙상 (아이스하키,스케이팅 포함)",13103136865T59 그 외 종목
소계,소계,41.9,14.6,12.1,8.5,6.4,6.4,5,4.9,4.8,4.8,3.7,3.2,3.2,2.7,2.4,2,1.7,1.2,1,0.9,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
131021368651.002001 서울,소계,37.6,15.7,13.3,10.8,7.8,7.6,6,2.3,5.3,3,2,3,2.1,2.2,1.2,2,2.3,0.3,0.8,0.5,0.3,0.5,0.2,0.6,0.4,0.8,0.5,0.8,0.2,0.5,0.2,0.2,0.2,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2
131021368651.002002 부산,소계,50.1,15,14.6,9.5,3.5,5,3.6,5,6.2,7.3,4.5,4.4,4.7,2,2.5,0.8,1.5,1.2,1.6,1.3,0.6,0.4,1,0.6,0.7,0,0,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.002003 대구,소계,46.5,14,7.3,10.9,7.1,9.1,2.8,3.4,1.8,6.1,3.6,1.8,1.8,2.9,2.2,2.1,0.8,1.6,0.7,0.8,0.2,0.8,1,0.3,0.8,0.3,1.1,0,0.3,0,0,0,0,0,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.002004 인천,소계,47.2,18.1,11,8.4,6.5,6.8,3.5,2.2,3.7,2.3,2.6,2.2,1.9,4,2.1,1,0.9,0.8,1.5,0.2,0.2,1.1,0.7,0,0.2,0.2,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4
131021368651.002005 광주,소계,43.3,16.4,6.7,9.3,9.7,7.5,4.1,5,7.8,5.9,7.8,4,2.7,1.7,1,0.6,2.8,2.6,2.2,1.4,1.2,1,1.7,1.1,0.9,0.7,0.7,0,0,0.4,0.3,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.3
131021368651.002006 대전,소계,30.1,16.1,15.2,9.2,11.1,8.8,7.1,12.1,5.6,10.5,5.5,3.7,3.8,4.2,3.5,3.7,3,2.2,1.2,1.4,2.1,1.5,1.7,1,1.1,0.9,0.3,0,0,0,0,0,0.2,1.2,0.5,0,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.9
131021368651.002007 울산,소계,40.5,13.7,15.2,4.9,3.1,4.5,4.5,7.7,0.9,3.4,3.1,5.2,5.7,2.3,1.8,1.5,1.2,1.8,0.3,0.6,0,0.4,2.1,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.002008 세종,소계,27.9,16.8,12.2,5.1,11.3,9.1,4.2,14.4,4.9,5.8,5.8,2.8,4.5,2.4,2.9,3.7,1.8,1.1,0.6,0,0,0.6,2,0,0.6,0.6,0.6,0.6,0,0,0,0,0.6,0.7,0,0.6,0,0.6,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6
