,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
pref_sghtng_place_id,3934,11,D***,1250,,,,,,,,0,0.0
extrc_word_nm,3934,287,해운대,34,,,,,,,,0,0.0
info_obtn_dt,3934,9,201905**,546,,,,,,,,0,0.0
auser_sxdst_cd,3934,2,M,2403,,,,,,,,0,0.0
age_group_cd,3934.0,,,,3.3197763091001526,1.032367280904883,2.0,2.0,3.0,4.0,5.0,0,0.0
occpn_nm,3934,15,"사무직 (일반사무직, 공무원, 직업군인)",2254,,,,,,,,0,0.0
hshld_incm_group_nm,3934,11,400~499만원,2009,,,,,,,,0,0.0
mrrg_yn_nm,3934,3,      ,1578,,,,,,,,0,0.0
chdrn_yn_nm,3934,3,          ,2702,,,,,,,,0,0.0
rsid_fom_nm,3934,5,아파트/ 주상복합,2982,,,,,,,,0,0.0
auser_ara_ctprv_nm,3934,16,서울,1323,,,,,,,,0,0.0
auser_ara_gu_nm,3934,191,서구,163,,,,,,,,0,0.0
auser_ara_dong_nm,3934,1600,개봉1동,56,,,,,,,,0,0.0
craln_tlphn_mkr_nm,3934,4,삼성,2948,,,,,,,,0,0.0
craln_tlphn_sbscr_cmpn_nm,3934,5,SKT,2617,,,,,,,,0,0.0
pref_sghtng_place_nm,3934,276,해운대,44,,,,,,,,0,0.0
info_obtn_site_url,3934,389,https://blog.naver.com/jomkkange/221718101147,23,,,,,,,,0,0.0
info_obtn_site_subjc_nm,3934,374,191125 1박 2일 안동 여행  세계문화유산 도산서원,23,,,,,,,,0,0.0
