노선명,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),총길이(km),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
강남5길(북),경상북도,안동시,경상북도 안동시 정하동 258-5,경상북도 안동시 정하동 231-7,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.3,1.5,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
강남5길(남),경상북도,안동시,경상북도 안동시 정하동 258-5,경상북도 안동시 정하동 231-7,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.2,1.5,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
영호루(북),경상북도,안동시,경상북도 안동시 정하동 651-1,경상북도 안동시 정하동 342-31,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.4,2,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
안동교(서),경상북도,안동시,경상북도 안동시 정하동 342-20,경상북도 안동시 옥야동 398-5,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.6,2.5,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
송야천(동),경상북도,안동시,경상북도 안동시 노하동 773-91,경상북도 안동시 교리 25-3,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,1.9,2.3,자전거보행자겸용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
송야천(동),경상북도,안동시,경상북도 안동시 송현동 1036-58,경상북도 안동시 노하동 773-38,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,1.8,2.3,자전거전용도로,Y,경상북도 안동시청,054-840-5419,2024-08-09,5070000,경상북도 안동시
춘천로114번길 R,강원특별자치도,춘천시,강원특별자치도 춘천시 효자동 531-37,강원특별자치도 춘천시 효자동 662-30,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.51,5.2,자전거보행자겸용도로,N,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
춘천로114번길 L,강원특별자치도,춘천시,강원특별자치도 춘천시 효자동 454-1,강원특별자치도 춘천시 효자동 662-21,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.51,5.2,자전거보행자겸용도로,N,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
춘천로138번길 R,강원특별자치도,춘천시,강원특별자치도 춘천시 운교동 198,강원특별자치도 춘천시 효자동 489-5,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.33,2.2,자전거보행자겸용도로,N,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
시청길 R,강원특별자치도,춘천시,강원특별자치도 춘천시 조양동 26-6,강원특별자치도 춘천시 조양동 5-1,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.39,3,자전거보행자겸용도로,N,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
시청길 L,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로1가 83,강원특별자치도 춘천시 옥천동 111-22,36.278244565084826,128.12424393137863,36.288553499407755,128.1242231867607,0.39,3,자전거보행자겸용도로,N,강원특별자치도 춘천시,033-250-4271,2024-11-29,4181000,강원특별자치도 춘천시
