131011264311 통계분류(2),131011264311 통계분류(3),Y2016 2016,Y2016 2016.1,Y2016 2016.2,Y2016 2016.3,Y2016 2016.4,Y2016 2016.5,Y2016 2016.6,Y2016 2016.7,Y2016 2016.8,Y2017 2017,Y2017 2017.1,Y2017 2017.2,Y2017 2017.3,Y2017 2017.4,Y2017 2017.5,Y2017 2017.6,Y2017 2017.7,Y2018 2018,Y2018 2018.1,Y2018 2018.2,Y2018 2018.3,Y2018 2018.4,Y2018 2018.5,Y2018 2018.6,Y2018 2018.7,Y2019 2019,Y2019 2019.1,Y2019 2019.2,Y2019 2019.3,Y2019 2019.4,Y2019 2019.5,Y2019 2019.6,Y2019 2019.7,Y2019 2019.8,Y2019 2019.9,Y2020 2020,Y2020 2020.1,Y2020 2020.2,Y2020 2020.3,Y2020 2020.4,Y2020 2020.5,Y2020 2020.6,Y2020 2020.7,Y2021 2021,Y2021 2021.1,Y2021 2021.2,Y2021 2021.3,Y2021 2021.4,Y2021 2021.5,Y2021 2021.6,Y2022 2022,Y2022 2022.1,Y2022 2022.2,Y2022 2022.3,Y2022 2022.4,Y2022 2022.5,Y2022 2022.6,Y2022 2022.7,Y2022 2022.8,Y2023 2023,Y2023 2023.1,Y2023 2023.2,Y2023 2023.3,Y2023 2023.4,Y2023 2023.5,Y2023 2023.6,Y2023 2023.7,Y2023 2023.8,Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7
131011264311 통계분류(2),131011264311 통계분류(3),13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T10 배(선박),13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T13 모름/무응답,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T9 전세버스,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T12 없음
소계,소계,93.6,28.5,10,7.1,1.1,0.3,0.2,0,5.9,91.5,30.6,12.1,6.7,3.1,0.4,0.2,0.3,92.2,34.7,11.2,9.4,2.5,0.5,0.1,0.6,93.1,32.9,12.6,6.5,1.2,0.4,0.1,0.2,0,5.4,93,32.4,9.5,7.8,1.1,0.1,0.3,0.2,84.9,29.2,7.6,6.6,1.3,0.1,4.9,77.1,34.5,9.3,8.4,2.1,0.1,0.1,0.5,6.2,87.9,35.9,12.5,5.3,1.2,0.3,0.1,0.1,5.5,84.3,31.1,10.5,6.6,0.6,0.1,0.1,4.9
131021264311.002001 서울,소계,99.3,20.7,12.3,10.3,3.7,0.5,0.4,0,4.7,107.3,21.7,16.6,7.8,8.3,0.4,0.2,0,92.7,25.5,15.1,11.6,6.1,0.8,0,2,106.4,25.7,21.4,8.5,2.4,0.6,0.1,0.5,0.1,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.3,21.3,22.7,6.5,2.6,0,0,0,6.1,80,23.6,13.5,7.1,2.2,0,0,4.9
131021264311.002002 부산,소계,92.8,20.7,9.7,4.5,1.6,0.4,0.7,0,4.9,86.8,30.7,8.5,4.5,1.5,0,0,0,95.1,32.3,13.8,11.6,1.2,0.3,0.1,0.4,95.3,27.8,8,2,1.2,0,0.3,0.2,0,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131.5,54.8,2.5,0.9,0.9,0,0,0,1.8,100.7,30.4,10,3.8,0.3,0.8,0,2.3
131021264311.002003 대구,소계,97.7,24.5,4.4,8.3,0.3,0.2,0,0,7.5,80.6,31.2,5.1,7.8,0.6,0.2,0.2,0,94.4,33.2,5.1,8.4,0.2,0.1,0,0,90.8,32.8,3.6,6.9,0,0.5,0,0.2,0,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,36.2,6.8,3.3,0.4,0,0,0,2.6,80.4,39.6,3.4,7.5,0,0,0,1.9
131021264311.002004 인천,소계,101.5,22.8,11.2,5.8,0.2,0.1,0,0,6.5,107.2,24.2,13.8,5.9,1.4,0.3,0,0,86,28.8,22.5,6.9,2.7,0.2,0,0.2,103,33.2,18.1,6.2,1,0,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.5,32.5,17.7,3.1,0.9,0.3,0.8,0,1.2,85.2,27.5,10.6,3.7,0.7,0.2,0,3.1
131021264311.002005 광주,소계,95.6,52.2,0.4,2.4,0,0,0,0,8.9,88.9,39.6,4.4,0.3,0,0,0.7,1.4,89.7,50.3,8.8,3.2,0,0,0,0,85.8,37.8,6.8,4.1,0,0.3,0,0,0,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.6,52.3,6.9,5.2,0,0.3,0,0,7.4,95.7,44.9,3.4,3.4,0,0,0,4
131021264311.002006 대전,소계,91.8,41.8,7.8,9.1,0,0.2,0,0,7.6,74.1,37.5,9.2,9.8,0.6,0,0,0,90.9,34.4,13.8,8.3,0.2,0.8,0.7,0,94.7,28,8.8,5,0.4,1.5,0,0,0.4,19.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.7,35.6,6.7,4.4,0,0,0,0,6.1,93.2,49.7,5.6,12.2,0,0.6,0.3,9.7
131021264311.002007 울산,소계,84.1,29.3,5.8,4.6,0,0,1.1,0,2.2,91.6,31.2,9.2,7.8,0,0,0.5,0,98.6,22.9,7.6,7.7,0,0,0,0.9,84.1,34.2,4.6,7.6,0,0,0,0,0,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124.5,52.9,1,2.1,0,0,0,0,0.9,86.2,23.7,5.4,3.1,0,0,0,7.2
131021264311.002008 세종,소계,105.2,41.5,8.7,21.8,0,7.2,0,0,9.4,63.6,50.1,6.1,4.7,0,0,0,0,88.5,29.5,4.8,15.4,0,2.2,0,0,87.5,25,2.4,8.7,0,1.1,0,0,0,4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.2,39,4.7,11.1,0,0,0,0,8.8,73.5,46.4,6.8,7,0,0.7,0,12.2
131021264311.002009 경기,소계,94.3,25.8,15.1,5.9,1.2,0.1,0.1,0,5.4,94.3,29,19.4,6.8,4.9,0.5,0.1,0,98.3,32.5,14.3,11.2,4.5,0.4,0,0.7,98.1,35.3,16.7,7.7,2.4,0.2,0.1,0,0,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.9,31.1,19.4,7.1,2.4,0.6,0.1,0,5.2,76.6,26.7,15.4,5.8,0.6,0,0.3,2.9
131021264311.002010 강원,소계,84,42.1,7.4,6.4,0,0,0.7,0,5.4,75.5,36.6,13,14.4,0,1.1,0,0,68.1,47.8,6.8,12.4,0,0,0,0,71.2,37.9,3.8,6.8,0,0,0,0,0,6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.5,25.4,20.1,9.4,0.6,0.4,0,1.4,5.8,67.8,17.7,18.3,9.1,0,0,0,0.8
131021264311.002011 충북,소계,78,30.7,8.9,8.7,0,0,0.8,0,3.5,73,41.4,7.1,9.3,0,0,0,0,98.7,42.3,11.9,9.1,0.6,0.3,0.3,0,85.1,22.2,6.6,3.7,0,0.4,0,0,0,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.1,30.5,3.7,5,0,0,0,0,12.9,84.5,38.1,5.5,12.8,1,0,0,13.6
131021264311.002012 충남,소계,90.5,40.5,5.6,7.2,0,0.1,0.2,0,4.7,75.6,50.3,12.1,10.2,0,1.5,0,0,87.3,58.5,6.8,11.1,0.5,0.3,0,0,87.5,34,3.1,7.8,0,0.3,1.3,0,0,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.8,29.8,7.3,6.8,0,0.9,0,0,12.8,69.4,49.6,3.9,12.5,0,0,0.3,11.2
131021264311.002013 전북,소계,100.5,46.6,0.2,2.4,0,0.3,0,0,8.4,71.3,42.7,5.5,0.8,0,0,0,0,91.3,46.5,4,4.2,0,0.7,0.5,0,70,42.8,10.7,2.6,0,0,0,0.3,0,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67.3,52.4,7.8,4.2,0,0.3,0,0,7.8,81.3,43.2,7.4,4.6,0,0.3,0,4.8
131021264311.002014 전남,소계,103.7,41.5,9.6,12.4,0,0.6,0,0,11.3,103.7,36.5,3.5,3.5,0,0,0,6.4,88,47.7,3.2,8.5,0,0.1,0.3,0,86.2,35.7,4.2,3.2,0,0.5,0.2,0,0,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.7,44.2,8.9,6.6,0,1.4,0,0.3,8,104.1,29.9,2.9,5.4,0,0,0,3.2
